strategy,method,thr,hi_N,hi_PF,hi_WR,lo_N,lo_PF,lo_WR,diff_pct,total_N
EstHL,"SMA, fixed 0.85",0.85,126,2.0968944099378883,0.5793650793650794,109,1.754276178556529,0.4954128440366973,19.530461370300074,235
EstHL,"SMA, median (H067 method)",0.8728179551122195,118,2.076796849360026,0.576271186440678,117,1.8011673151750973,0.5042735042735043,15.302827886266302,235
EstHL,"EMA, median (H066 method)",0.8951543228239702,121,2.4387608069164264,0.6033057851239669,121,1.4047310434219054,0.4628099173553719,73.61051557425817,242
Reversal,"SMA, fixed 0.85",0.85,291,1.3944546568627452,0.4536082474226804,192,1.0769230769230769,0.4583333333333333,29.485075280112056,483
Reversal,"SMA, median (H067 method)",0.9349220898258479,242,1.5244570349386213,0.47107438016528924,241,1.0114663726571114,0.43983402489626555,50.717520240825095,483
Reversal,"EMA, median (H066 method)",0.9505318332287042,245,1.6314491654021244,0.4857142857142857,245,0.8868910725486097,0.42448979591836733,83.95147001693448,490
Exhaustion,"SMA, fixed 0.85",0.85,111,0.9437086092715232,0.44144144144144143,20,1.078088578088578,0.45,-12.464650080544114,131
Exhaustion,"SMA, median (H067 method)",1.2993039443155452,66,0.7974137931034483,0.3939393939393939,65,1.1968911917098446,0.49230769230769234,-33.376250186595016,131
Exhaustion,"EMA, median (H066 method)",1.2542887432039191,67,0.8840112766814338,0.417910447761194,67,1.144072036018009,0.4925373134328358,-22.731152510442236,134
